"Model","AIC","BIC","LogLik"
"01. COMPON 2025",447.39,458.89,-220.7
"02. LLM 2016-2025",385.88,397.39,-189.94
"03. LLM 2024-2025",324.83,336.34,-159.42
"04. LLM 2025",300.48,311.98,-147.24
"05. Raw 2016-2025",435.27,446.78,-214.64
"06. Raw 2024-2025",348.16,359.67,-171.08
"07. Raw 2025",309.16,320.66,-151.58
"08. Pred LLM 2016-25→COMPON",413.23,428.57,-202.61
"09. Pred LLM 2024-25→COMPON",422.22,437.56,-207.11
"10. Pred LLM 2025→COMPON",430.57,445.91,-211.29
"11. Pred Raw 2016-25→COMPON",417.01,432.34,-204.5
"12. Pred Raw 2024-25→COMPON",414.5,429.84,-203.25
"13. Pred Raw 2025→COMPON",424.25,439.59,-208.12
